Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guatemala,MtCO2e,20.05,20.16,20.95,21.23,21.56,22.48,22.31,22.67,24.41,24.33,25.54,23.53,24.19,24.26,24.47,25.24,25.23,26.12,24.96,25.57,25.16,19.45,19.86,20.72,21.66,24.05,20.73,19.78,21.48
North Korea,MtCO2e,129.72,123.71,111.05,103.07,95.11,89.78,80.36,73.88,67.30,72.93,78.18,76.08,72.90,74.43,76.02,79.28,80.64,67.33,74.53,57.06,53.32,40.24,41.70,31.02,34.62,28.50,33.38,25.67,21.41
Bosnia and Herzegovina,MtCO2e,27.22,24.70,19.22,16.66,6.42,6.63,7.44,11.75,14.02,13.77,17.21,14.11,14.90,15.21,15.92,16.57,18.26,19.23,21.11,20.93,21.19,20.02,18.25,18.13,15.77,15.90,20.60,20.91,20.81
Sweden,MtCO2e,55.21,56.10,58.61,58.36,60.35,60.10,65.52,59.26,60.26,59.21,55.31,40.95,42.49,43.70,42.17,38.88,37.61,35.88,34.94,31.76,37.15,22.31,19.90,18.30,16.89,17.00,22.14,21.76,19.68
Benin,MtCO2e,15.37,15.33,15.35,15.41,15.40,15.45,16.05,16.23,16.29,16.41,16.52,12.55,12.83,13.09,13.24,13.49,14.54,15.10,15.06,15.41,15.80,15.69,15.45,15.73,16.22,16.70,17.94,18.07,18.62
Norway,MtCO2e,14.15,12.21,15.40,16.98,18.63,18.05,18.99,20.75,22.47,24.30,19.02,11.91,11.60,14.25,14.60,13.52,14.51,15.16,14.23,14.63,19.05,21.20,20.16,19.27,19.34,19.70,18.99,17.95,18.43
Somalia,MtCO2e,18.08,18.06,18.03,17.99,17.98,17.95,17.93,17.90,17.87,17.85,17.84,17.86,17.92,17.93,17.93,17.93,17.93,17.98,17.97,17.97,17.98,17.99,17.98,18.01,18.00,18.00,18.01,18.01,18.04
Estonia,MtCO2e,33.23,29.58,21.97,16.52,16.08,14.48,15.46,15.09,14.59,13.70,13.38,13.87,13.46,15.44,15.55,15.77,14.54,18.52,16.96,13.63,17.58,11.90,10.63,13.04,11.67,9.21,17.58,18.21,17.96
Trinidad and Tobago,MtCO2e,14.19,13.08,12.01,12.56,13.10,13.24,13.38,13.85,14.18,14.29,14.44,15.57,16.15,15.45,16.11,19.80,22.36,22.21,21.28,20.33,22.76,23.30,22.23,22.84,22.03,21.37,18.35,18.32,17.88
Guyana,MtCO2e,8.15,8.12,8.05,8.06,8.38,8.89,9.22,9.47,9.51,9.68,9.63,10.32,10.30,10.30,10.78,10.57,10.42,10.69,10.68,10.70,10.84,18.58,18.74,18.70,18.77,18.76,16.39,16.39,16.51
Guinea,MtCO2e,11.78,11.80,11.83,11.86,11.90,11.93,12.00,12.05,12.13,12.20,12.24,12.67,12.72,12.79,12.86,12.92,12.99,13.06,13.09,13.20,13.58,13.75,13.62,13.31,13.38,13.68,15.04,15.19,15.35
Honduras,MtCO2e,7.99,8.00,8.28,8.45,8.80,9.42,9.46,9.60,10.24,10.31,10.57,11.21,11.49,12.13,12.97,12.38,13.39,13.96,14.01,13.50,13.56,14.68,15.04,15.24,15.36,15.76,14.92,14.53,15.30
Nepal,MtCO2e,-0.83,-0.59,-0.54,-0.36,0.18,0.29,0.35,0.59,0.73,1.81,1.93,-0.67,-1.35,-1.12,-1.33,-0.96,-1.53,-1.46,-1.16,-0.28,0.48,8.21,9.01,9.10,10.15,9.48,12.30,13.98,14.97
Namibia,MtCO2e,false,11.68,11.78,11.98,12.20,12.33,12.48,12.53,12.58,12.54,12.50,13.02,12.69,12.83,12.94,13.09,13.10,13.18,13.52,13.59,13.69,13.88,14.10,14.38,14.56,14.83,14.92,14.89,14.81
Liberia,MtCO2e,13.85,13.77,13.80,13.82,13.82,13.82,13.84,13.86,13.90,13.81,13.85,13.89,13.88,13.92,14.00,14.11,14.13,14.08,13.98,13.98,14.17,14.29,14.40,14.36,14.66,14.70,14.85,14.70,14.76
Panama,MtCO2e,8.68,9.12,9.63,9.79,10.03,10.35,10.40,10.63,11.71,11.00,11.27,10.62,9.81,9.93,10.01,11.52,11.89,11.88,11.70,13.09,13.58,14.39,14.86,15.00,15.68,15.10,15.17,14.65,14.53
Slovenia,MtCO2e,4.13,3.34,3.42,4.16,4.20,5.07,5.89,6.32,6.10,5.54,5.18,3.85,4.00,3.89,4.18,4.40,4.78,4.77,5.86,4.01,4.28,13.10,12.54,11.97,10.55,10.54,14.27,14.49,14.39
Central African Republic,MtCO2e,14.12,14.11,14.11,14.12,14.12,14.13,14.13,14.13,14.19,14.20,14.20,14.22,14.21,14.20,14.20,14.20,14.22,14.23,14.23,14.23,14.24,14.26,14.27,14.27,14.28,14.28,14.29,14.29,14.31
Senegal,MtCO2e,7.21,7.22,7.46,7.39,7.49,7.65,7.81,8.10,8.48,8.85,8.95,10.82,10.95,10.85,11.76,12.03,11.94,12.57,12.77,13.02,13.39,12.04,11.93,12.48,13.04,13.76,14.25,13.90,14.19
Republic of Congo,MtCO2e,10.27,12.51,12.45,12.43,12.21,12.33,12.14,12.64,12.54,12.28,12.04,11.98,11.79,11.90,11.81,13.79,13.94,14.09,14.42,14.45,14.02,13.99,14.11,13.41,13.55,12.91,13.76,13.66,13.69
Madagascar,MtCO2e,29.65,29.71,29.72,29.75,29.97,30.18,30.12,30.24,30.46,30.58,30.57,23.69,23.14,23.57,23.67,23.73,23.67,23.76,23.82,23.72,23.91,12.30,12.85,13.03,13.15,13.43,13.33,13.61,13.49
Croatia,MtCO2e,19.48,13.78,14.10,14.64,13.98,14.55,14.49,16.20,17.62,17.65,17.19,18.37,19.45,20.78,20.27,20.63,20.79,22.06,20.91,19.48,18.63,17.54,15.96,15.54,14.84,15.18,12.59,13.14,12.24
Suriname,MtCO2e,4.98,5.26,5.27,5.28,5.28,5.36,5.44,5.47,5.49,5.58,4.94,5.32,4.92,5.04,5.37,5.66,5.50,5.38,5.42,5.42,5.71,10.20,10.69,10.54,10.89,11.00,11.67,11.49,11.44
Gabon,MtCO2e,7.74,7.96,8.22,8.31,8.05,8.21,8.32,8.44,8.54,8.47,8.32,7.73,7.49,7.56,7.62,7.82,7.23,7.24,7.32,7.39,7.95,12.09,12.27,12.15,11.95,11.93,12.16,11.15,11.08
Lithuania,MtCO2e,32.89,34.96,20.67,16.42,15.50,14.42,14.89,14.57,15.35,12.86,11.12,11.25,11.31,11.32,11.98,12.88,13.07,13.26,13.11,11.72,12.64,5.78,5.86,5.27,4.78,4.98,10.59,10.60,10.95
Kenya,MtCO2e,1.78,1.54,1.60,1.51,1.51,2.02,2.62,2.29,2.81,3.13,3.88,22.73,22.54,21.64,22.55,23.44,24.41,24.48,25.03,26.82,27.75,21.33,20.42,22.39,23.32,25.38,11.15,11.27,10.78
Equatorial Guinea,MtCO2e,3.89,3.90,3.90,4.82,4.83,4.83,5.34,5.46,5.45,5.65,6.18,6.56,7.86,8.99,11.08,11.92,13.00,11.38,12.81,13.49,13.35,13.54,13.84,13.18,11.92,10.97,9.43,9.46,10.51
South Sudan,MtCO2e,6.94,6.94,6.94,6.94,6.94,7.01,7.01,7.02,7.03,7.06,7.06,7.17,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.16,7.17,6.95,7.99,8.02,8.07,8.51,10.67,10.44,10.28
Malawi,MtCO2e,8.86,8.93,8.93,9.02,9.04,9.05,9.05,9.10,9.08,9.13,9.06,9.06,9.05,9.06,9.09,9.10,9.11,9.16,9.29,9.30,9.22,9.32,9.30,9.39,9.24,9.34,9.50,9.65,9.71
Georgia,MtCO2e,15.22,7.24,1.81,-2.17,-7.82,-10.09,-11.90,-12.75,-13.28,-13.75,-13.50,0.00,-0.56,-0.36,-0.14,0.73,1.18,2.11,1.32,2.11,1.81,6.52,7.19,7.84,8.47,9.20,9.65,9.63,9.46
Yemen,MtCO2e,6.64,8.50,9.13,8.12,8.48,9.87,10.08,10.85,11.73,13.17,13.89,15.08,15.14,17.40,18.40,19.38,19.41,20.63,22.01,25.65,23.99,20.69,19.68,26.35,26.71,14.21,10.88,10.06,9.31
Luxembourg,MtCO2e,10.68,11.14,10.83,11.03,10.20,8.04,8.12,7.63,6.95,7.31,8.03,8.63,9.33,9.75,11.17,11.42,11.22,10.62,10.53,9.95,10.54,10.69,10.45,9.91,9.41,8.89,8.58,8.72,9.04
Moldova,MtCO2e,30.23,24.30,20.02,17.11,13.83,11.84,10.10,9.28,8.35,7.05,6.40,6.02,6.18,6.76,6.77,7.17,6.97,7.13,7.14,6.63,7.29,7.90,7.69,6.73,7.27,7.57,8.25,8.26,8.70
Jamaica,MtCO2e,7.83,7.76,8.51,8.68,8.74,9.05,9.41,9.57,10.12,10.41,10.50,7.65,7.82,8.16,8.14,8.13,9.63,9.59,7.19,5.45,5.05,7.83,7.35,7.82,7.64,7.53,7.93,7.37,8.69
El Salvador,MtCO2e,3.46,4.15,4.44,5.00,5.54,6.04,5.47,6.40,6.75,6.69,6.71,6.95,7.02,7.59,7.76,7.92,8.32,8.71,7.99,7.76,7.62,7.86,7.85,7.54,7.67,8.08,8.25,7.46,7.89
Kyrgyzstan,MtCO2e,21.74,19.40,12.78,9.09,5.52,3.58,4.75,4.67,5.01,3.77,3.65,3.96,4.96,5.58,5.55,5.29,5.31,6.46,7.50,6.75,6.34,6.88,9.32,8.64,8.97,9.53,6.43,6.08,7.73
Afghanistan,MtCO2e,0.58,0.35,-0.96,-1.03,-1.08,-1.14,-1.21,-1.29,-1.34,-1.57,-1.62,0.93,1.22,1.47,1.25,1.76,2.06,2.49,4.51,6.12,8.79,12.02,10.20,8.27,7.56,7.74,7.55,7.53,7.59
Brunei,MtCO2e,5.43,4.90,5.10,5.38,5.66,6.03,6.07,6.58,8.74,5.50,5.75,5.66,5.66,6.65,6.20,6.11,8.48,8.10,8.48,8.70,8.11,7.36,7.48,7.36,7.37,6.35,6.79,7.03,7.47
Macedonia,MtCO2e,8.59,8.38,8.59,8.89,8.59,8.57,10.11,9.04,9.88,9.14,8.82,8.99,8.43,9.21,8.92,9.36,9.37,9.81,9.58,8.96,8.73,9.64,9.13,8.24,7.78,7.48,7.39,7.86,7.37
Bulgaria,MtCO2e,51.81,36.85,33.38,33.91,31.76,32.94,33.30,31.61,28.83,22.53,21.56,22.63,20.08,24.35,23.63,24.32,25.41,29.07,26.47,19.41,21.29,37.56,33.01,27.70,30.12,32.57,7.94,10.24,7.32
Tajikistan,MtCO2e,11.05,10.21,7.71,5.19,3.06,2.54,2.27,2.55,2.80,2.58,2.23,1.80,1.78,1.82,2.23,2.10,2.32,2.90,2.68,2.04,2.07,2.14,2.59,2.76,4.07,4.36,5.83,6.25,7.20
Cyprus,MtCO2e,4.49,5.00,5.36,5.62,5.86,5.73,6.09,6.18,6.48,6.74,7.00,6.67,6.85,7.51,7.45,7.61,7.67,7.97,8.13,7.91,7.55,7.23,6.70,6.07,6.43,6.46,6.90,7.05,6.98
Belize,MtCO2e,6.89,6.99,7.06,7.02,7.01,7.02,6.92,7.01,7.01,6.95,6.97,3.76,3.76,3.74,3.68,3.70,3.75,3.78,3.74,4.72,3.81,6.11,6.16,5.97,5.96,6.13,5.87,5.88,5.92
Mali,MtCO2e,0.42,0.43,0.45,0.46,0.47,0.47,0.49,0.53,0.77,0.80,1.41,1.61,1.40,1.40,1.48,1.65,1.89,2.07,2.08,2.51,2.78,3.12,3.11,3.05,3.12,3.41,4.42,5.05,5.62
Armenia,MtCO2e,19.98,20.82,11.02,5.17,2.87,3.64,2.71,3.47,3.60,3.24,3.69,3.73,3.24,3.62,3.89,4.58,4.61,5.33,5.81,4.63,4.46,4.86,5.64,5.42,5.40,5.26,5.10,5.36,5.59
Albania,MtCO2e,6.24,4.30,2.43,2.26,2.33,2.14,2.16,1.67,1.99,3.16,3.36,2.11,2.63,2.99,3.18,2.95,2.94,3.10,3.05,3.20,3.46,4.20,3.74,3.95,4.37,4.23,4.70,5.37,5.32
Latvia,MtCO2e,5.84,4.27,1.01,-1.20,-2.74,-3.89,-3.87,-4.34,-4.72,-5.24,-5.77,-6.54,-6.54,-6.29,-6.24,-6.14,-5.65,-5.30,-5.71,-6.45,-5.28,5.24,4.92,4.80,4.60,4.64,4.37,4.33,4.85
Uruguay,MtCO2e,-9.39,-8.87,-8.47,-8.75,-8.97,-8.54,-7.78,-7.68,-7.45,-6.45,-7.78,-5.02,-5.44,-5.48,-4.51,-4.56,-3.64,-4.12,-2.22,-2.30,-3.69,0.71,1.62,0.46,-0.40,-0.31,4.76,4.31,4.75
Sierra Leone,MtCO2e,3.69,3.70,3.80,3.81,3.83,3.60,3.64,3.57,3.61,3.50,3.74,3.77,3.88,3.93,3.91,3.83,3.97,3.88,3.90,3.89,3.94,4.11,4.24,4.41,4.52,4.28,4.31,4.31,4.36
Mauritius,MtCO2e,1.14,1.23,1.30,1.45,1.49,1.53,1.59,1.60,1.77,2.18,2.41,2.65,2.70,2.83,2.85,3.05,3.39,3.48,3.55,3.51,3.75,3.64,3.73,3.82,3.96,3.97,4.01,4.15,4.11
Burundi,MtCO2e,5.58,5.62,5.59,5.60,5.60,5.72,5.74,5.76,5.79,5.84,5.87,3.74,3.74,3.70,3.68,3.69,3.73,3.73,3.73,3.73,3.86,-1.04,-1.01,-1.00,-1.02,-1.00,3.96,4.06,4.07
Haiti,MtCO2e,1.09,1.07,0.97,0.77,0.26,0.97,1.13,1.34,1.38,1.45,1.54,1.67,1.89,1.88,1.74,1.78,1.79,2.11,2.10,2.06,2.53,3.45,3.15,3.38,3.71,3.97,4.04,4.00,3.96
Niger,MtCO2e,6.27,6.24,6.20,6.27,6.25,6.23,6.31,6.32,6.37,6.35,6.34,1.90,1.93,1.99,2.02,1.99,1.98,2.05,2.10,2.32,2.60,2.64,3.12,3.02,3.21,3.20,3.22,3.31,3.53
Togo,MtCO2e,3.64,3.59,3.41,3.30,3.57,3.64,4.02,3.43,3.86,4.37,3.93,2.12,2.29,2.78,2.72,2.69,2.51,2.44,2.51,3.77,3.57,3.45,3.17,2.69,2.53,2.76,3.11,2.88,3.07
Mauritania,MtCO2e,1.24,1.26,1.29,1.31,1.34,1.40,1.46,1.45,1.39,1.51,1.51,1.57,1.66,1.70,1.81,1.84,1.85,2.11,2.19,2.39,2.47,2.59,2.79,2.59,2.91,3.34,1.73,2.72,2.92
Rwanda,MtCO2e,3.43,3.38,3.38,3.38,3.36,3.37,3.37,3.39,3.39,3.41,3.43,3.20,3.19,3.18,3.18,3.18,3.18,3.21,3.20,3.23,3.24,2.42,2.50,2.56,2.59,2.70,2.73,2.72,2.73
Lesotho,MtCO2e,1.39,1.45,1.50,1.54,1.58,1.61,1.64,1.67,1.71,1.72,1.75,1.77,1.80,1.82,1.87,1.90,1.92,1.96,2.01,2.10,2.16,2.21,2.28,2.29,2.31,2.23,2.27,2.44,2.57
Montenegro,MtCO2e,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-4.13,-4.13,-4.13,-4.13,-2.12,-1.95,-2.03,-1.44,-2.38,-1.55,2.56,2.36,2.30,2.25,2.39,2.14,2.25,2.55
Bahamas,MtCO2e,1.78,1.88,2.53,2.10,2.04,2.08,1.97,1.77,2.27,2.23,2.14,2.13,2.28,2.25,2.16,2.02,2.02,2.07,2.11,6.02,2.08,2.42,3.64,3.11,2.62,2.37,2.19,2.15,2.25
Iceland,MtCO2e,1.96,1.93,1.96,2.00,2.11,2.02,2.28,2.17,2.17,2.13,2.24,2.14,2.22,2.20,2.29,2.26,2.31,2.36,2.16,2.08,1.93,1.81,1.78,1.95,1.97,1.98,1.98,2.09,2.11
Maldives,MtCO2e,0.16,0.16,0.23,0.20,0.20,0.26,0.28,0.34,0.31,0.43,0.46,0.48,0.61,0.53,0.74,0.71,0.87,0.87,0.87,0.91,0.96,1.01,1.14,1.13,1.36,1.35,1.75,1.81,1.91
Guinea-Bissau,MtCO2e,1.66,1.66,1.66,1.67,1.67,1.67,1.66,1.68,1.66,1.68,1.63,1.64,1.64,1.68,1.69,1.70,1.70,1.72,1.71,1.72,1.73,1.73,1.74,1.75,1.76,1.77,1.78,1.78,1.80
Malta,MtCO2e,2.31,2.21,2.17,2.81,2.51,2.38,2.32,2.47,2.37,2.41,2.13,2.49,2.32,2.61,2.60,2.62,2.65,2.71,2.72,2.50,2.58,2.57,2.71,2.37,2.35,1.65,1.34,1.51,1.54
Barbados,MtCO2e,0.98,0.98,1.18,0.99,1.03,1.07,1.07,1.17,1.27,1.30,1.24,1.31,1.37,1.38,1.36,1.41,1.47,1.48,1.78,4.62,1.59,1.66,2.21,1.48,1.29,1.29,1.31,1.19,1.25
Eritrea,MtCO2e,0.43,0.43,0.87,1.07,1.17,1.23,1.31,1.26,1.05,1.08,1.07,1.15,1.14,1.15,1.14,1.06,0.98,0.97,0.90,0.93,0.96,0.96,1.01,1.03,1.06,1.03,1.11,1.17,1.24
Timor-Leste,MtCO2e,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.63,0.63,0.66,0.67,0.67,0.67,0.67,0.70,0.71,0.71,0.76,0.92,0.99,1.07,1.15,1.07,1.10
Gambia,MtCO2e,0.72,0.73,0.73,0.73,0.73,0.74,0.75,0.76,0.77,0.79,0.77,0.84,0.83,0.83,0.85,0.86,0.89,0.93,0.96,1.01,0.97,0.98,0.99,0.97,1.04,1.06,1.06,1.07,1.10
Eswatini,MtCO2e,0.82,0.81,0.70,0.60,0.91,0.87,0.65,0.98,1.01,1.09,1.00,0.95,0.94,0.87,0.86,0.88,0.88,0.91,0.89,0.94,0.88,0.89,0.93,1.42,0.83,0.90,1.10,0.91,0.96
Costa Rica,MtCO2e,5.33,5.53,6.61,6.65,7.32,7.28,6.99,6.96,7.48,7.50,7.41,4.97,5.07,5.34,5.48,5.81,6.09,7.14,7.06,6.74,6.65,0.16,0.18,0.51,0.54,0.25,0.79,0.88,0.95
Seychelles,MtCO2e,0.15,0.17,0.18,0.19,0.21,0.20,0.24,0.35,0.44,0.52,0.58,0.64,0.54,0.55,0.75,0.70,0.74,0.65,0.70,0.51,0.44,0.40,0.45,0.41,0.46,0.50,0.54,0.58,0.61
Cape Verde,MtCO2e,-0.41,-0.41,-0.40,-0.40,-0.40,-0.39,-0.37,-0.37,-0.35,-0.32,-0.29,0.18,0.22,0.24,0.27,0.38,0.44,0.40,0.41,0.45,0.48,0.50,0.47,0.44,0.44,0.44,0.48,0.53,0.56
Antigua and Barbuda,MtCO2e,0.21,0.22,0.29,0.25,0.25,0.27,0.28,0.29,0.33,0.33,0.33,0.35,0.39,0.41,0.40,0.41,0.44,0.46,0.48,1.39,0.49,0.51,0.71,0.47,0.48,0.49,0.50,0.50,0.53
Djibouti,MtCO2e,0.33,0.34,0.34,0.34,0.33,0.33,0.34,0.35,0.35,0.34,0.37,0.38,0.40,0.41,0.40,0.43,0.43,0.47,0.47,0.46,0.52,0.47,0.51,0.56,0.46,0.54,0.49,0.47,0.49
Andorra,MtCO2e,0.41,0.41,0.41,0.41,0.41,0.43,0.45,0.47,0.49,0.51,0.52,0.52,0.53,0.53,0.56,0.58,0.55,0.54,0.54,0.52,0.52,0.49,0.49,0.48,0.46,0.47,0.47,0.47,0.46
Samoa,MtCO2e,0.22,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.26,0.26,0.27,0.28,0.29,0.30,0.30,0.29,0.30,0.30,0.30,0.31,0.31,0.32,0.35,0.40,0.41,0.43
Sao Tome and Principe,MtCO2e,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.09,0.09,0.09,0.10,0.10,0.11,0.32,0.33,0.34,0.33,0.34,0.34,0.35,0.35
Comoros,MtCO2e,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.16,0.17,0.17,0.19,0.21,0.20,0.21,0.18,0.18,0.19,0.22,0.21,0.21,0.24,0.22,0.24,0.26,0.31,0.32
Grenada,MtCO2e,0.11,0.12,0.16,0.15,0.15,0.17,0.19,0.20,0.23,0.22,0.21,0.23,0.24,0.25,0.23,0.25,0.26,0.28,0.29,0.81,0.29,0.29,0.42,0.32,0.25,0.27,0.28,0.29,0.30
Palau,MtCO2e,false,false,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.21,0.22,0.22,0.22,0.23,0.26,0.25,0.24,0.21,0.20,0.21,0.22,0.21,0.22,0.22,0.22,0.26,0.27,0.29
Saint Vincent and the Grenadines,MtCO2e,0.03,0.04,0.07,0.08,0.09,0.10,0.10,0.11,0.15,0.14,0.12,0.20,0.23,0.23,0.25,0.25,0.25,0.30,0.22,0.99,0.25,0.23,0.40,0.21,0.29,0.22,0.27,0.27,0.28
Saint Kitts and Nevis,MtCO2e,0.11,0.11,0.15,0.14,0.15,0.15,0.15,0.16,0.18,0.18,0.19,0.21,0.23,0.23,0.24,0.22,0.23,0.25,0.25,0.70,0.24,0.26,0.35,0.23,0.23,0.24,0.24,0.24,0.26
Saint Lucia,MtCO2e,0.03,0.04,0.13,0.13,0.14,0.17,0.18,0.18,0.23,0.23,0.22,0.29,0.26,0.30,0.30,0.26,0.29,0.19,0.20,0.93,0.28,0.24,0.38,0.17,0.21,0.23,0.20,0.22,0.24
Tonga,MtCO2e,0.08,0.09,0.08,0.09,0.09,0.10,0.08,0.09,0.10,0.11,0.10,0.10,0.10,0.12,0.13,0.13,0.15,0.13,0.13,0.14,0.12,0.11,0.11,0.12,0.11,0.11,0.15,0.18,0.19
Marshall Islands,MtCO2e,false,false,0.08,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.10,0.11,0.12,0.11,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.17,0.18,0.19
Vanuatu,MtCO2e,0.07,0.07,0.06,0.06,0.06,0.07,0.09,0.09,0.08,0.09,0.09,0.09,0.08,0.09,0.07,0.07,0.07,0.11,0.10,0.13,0.13,0.13,0.12,0.11,0.16,0.14,0.18,0.17,0.17
Dominica,MtCO2e,0.12,0.12,0.14,0.13,0.13,0.15,0.13,0.16,0.16,0.17,0.19,0.14,0.11,0.13,0.14,0.15,0.16,0.17,0.17,0.49,0.17,0.16,0.25,0.17,0.17,0.17,0.17,0.15,0.16
Micronesia,MtCO2e,false,-0.03,0.08,0.08,0.08,0.09,0.09,0.10,0.10,0.10,0.10,0.12,0.11,0.13,0.13,0.13,0.11,0.11,0.09,0.10,0.08,0.09,0.10,0.11,0.11,0.12,0.14,0.14,0.15
Liechtenstein,MtCO2e,0.22,0.23,0.23,0.24,0.22,0.23,0.23,0.24,0.25,0.25,0.24,0.24,0.25,0.26,0.26,0.26,0.26,0.23,0.25,0.23,0.22,0.18,0.19,0.19,0.16,0.16,0.15,0.16,0.14
Cook Islands,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.08,0.08
Kiribati,MtCO2e,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.05,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.07,0.08
Nauru,MtCO2e,0.13,0.13,0.12,0.11,0.11,0.11,0.10,0.10,0.10,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.07
Bhutan,MtCO2e,-6.48,-6.44,-6.41,-6.44,-6.42,-6.38,-6.33,-6.24,-6.25,-6.25,-6.24,-6.25,-6.21,-6.25,-6.30,-6.20,-6.21,-6.22,-6.21,-6.24,-6.14,-0.65,-0.56,-0.46,-0.38,-0.35,-0.09,0.01,0.07
Tuvalu,MtCO2e,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Niue,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fiji,MtCO2e,-1.81,-1.81,-1.78,-1.79,-1.79,-1.78,-1.72,-1.74,-1.76,-1.74,-1.69,-1.47,-1.62,-1.46,-1.08,-1.27,-1.18,-1.28,-1.59,-1.58,-1.39,-1.44,-1.52,-1.42,-1.24,-1.03,-0.81,-0.73,-0.65
Ghana,MtCO2e,12.67,12.44,12.96,13.07,13.34,13.60,13.98,14.18,15.98,16.46,15.62,52.07,53.28,52.99,52.48,52.88,54.29,54.91,54.42,55.80,57.00,41.62,43.63,44.42,43.77,44.53,-10.82,-10.15,-8.82
Data source,CAIT
Data for,Location: World. Sectors/Subsectors: Total including LUCF. Gases: CO2. Calculation: Total. Show data by Countries
